INTLDES,NORAD_CAT_ID,OBJECT_TYPE,SATNAME,COUNTRY,LAUNCH,SITE,DECAY,PERIOD,INCLINATION,APOGEE,PERIGEE,COMMENT,COMMENTCODE,RCSVALUE,RCS_SIZE,FILE,LAUNCH_YEAR,LAUNCH_NUM,LAUNCH_PIECE,CURRENT,OBJECT_NAME,OBJECT_ID,OBJECT_NUMBER
"2019-006B","43948","PAYLOAD","KALAMSAT-V2/PSLV","IND","2019-01-24","SRI","","93.56","98.80","451","446","","","0","LARGE","6825","2019","6","B","Y","KALAMSAT-V2/PSLV","2019-006B","43948"
"2019-006A","43947","PAYLOAD","MICROSAT-R","IND","2019-01-24","SRI","","89.93","96.61","301","241","","","0","LARGE","6826","2019","6","A","Y","MICROSAT-R","2019-006A","43947"
"2019-005D","43945","ROCKET BODY","CZ-11 R/B","PRC","2019-01-21","JSC","2019-01-28","87.55","97.33","207","100","","","0","LARGE","6824","2019","5","D","Y","CZ-11 R/B","2019-005D","43945"
"2019-003H","43939","ROCKET BODY","EPSILON R/B","JPN","2019-01-18","KSCUT","","93.90","97.16","711","219","","","0","LARGE","6826","2019","3","H","Y","EPSILON R/B","2019-003H","43939"
"2019-003E","43936","TBA","OBJECT E","JPN","2019-01-18","KSCUT","","94.56","97.30","514","480","","","0","LARGE","6825","2019","3","E","Y","OBJECT E","2019-003E","43936"
"2019-002K","43931","PAYLOAD","IRIDIUM 167","US","2019-01-11","AFWTR","","100.40","86.40","779","777","","","0","LARGE","6826","2019","2","K","Y","IRIDIUM 167","2019-002K","43931"
"2019-002J","43930","PAYLOAD","IRIDIUM 170","US","2019-01-11","AFWTR","","97.07","86.68","629","608","","","0","LARGE","6824","2019","2","J","Y","IRIDIUM 170","2019-002J","43930"
"2019-002H","43929","PAYLOAD","IRIDIUM 171","US","2019-01-11","AFWTR","","100.40","86.40","779","776","","","0","LARGE","6824","2019","2","H","Y","IRIDIUM 171","2019-002H","43929"
"2019-002G","43928","PAYLOAD","IRIDIUM 175","US","2019-01-11","AFWTR","","97.81","86.61","655","652","","","0","LARGE","6824","2019","2","G","Y","IRIDIUM 175","2019-002G","43928"
"2019-002F","43927","PAYLOAD","IRIDIUM 172","US","2019-01-11","AFWTR","","100.40","86.40","779","776","","","0","LARGE","6825","2019","2","F","Y","IRIDIUM 172","2019-002F","43927"
"2019-002E","43926","PAYLOAD","IRIDIUM 169","US","2019-01-11","AFWTR","","98.08","86.92","678","655","","","0","LARGE","6825","2019","2","E","Y","IRIDIUM 169","2019-002E","43926"
"2019-002D","43925","PAYLOAD","IRIDIUM 173","US","2019-01-11","AFWTR","","100.40","86.40","779","776","","","0","LARGE","6825","2019","2","D","Y","IRIDIUM 173","2019-002D","43925"
"2019-002C","43924","PAYLOAD","IRIDIUM 168","US","2019-01-11","AFWTR","","100.40","86.40","779","776","","","0","LARGE","6824","2019","2","C","Y","IRIDIUM 168","2019-002C","43924"
"2019-002B","43923","PAYLOAD","IRIDIUM 176","US","2019-01-11","AFWTR","","97.81","86.61","656","652","","","0","LARGE","6824","2019","2","B","Y","IRIDIUM 176","2019-002B","43923"
"2019-002A","43922","PAYLOAD","IRIDIUM 180","US","2019-01-11","AFWTR","","99.14","86.50","718","717","","","0","LARGE","6824","2019","2","A","Y","IRIDIUM 180","2019-002A","43922"
"2019-001B","43921","ROCKET BODY","CZ-3B R/B","PRC","2019-01-10","XSC","","596.78","27.06","34066","138","","","0","LARGE","6826","2019","1","B","Y","CZ-3B R/B","2019-001B","43921"
"2019-001A","43920","PAYLOAD","CHINASAT 2D","PRC","2019-01-10","XSC","","1436.07","0.05","35790","35782","","","0","LARGE","6826","2019","1","A","Y","CHINASAT 2D","2019-001A","43920"
"2018-112G","43915","PAYLOAD","YUNHAI 2 6","PRC","2018-12-29","JSC","","107.17","50.01","1100","1092","","","0","LARGE","6824","2018","112","G","Y","YUNHAI 2 6","2018-112G","43915"
"2018-112E","43913","PAYLOAD","YUNHAI 2 5","PRC","2018-12-29","JSC","","100.87","50.01","804","796","","","0","LARGE","6826","2018","112","E","Y","YUNHAI 2 5","2018-112E","43913"
"2018-112D","43912","PAYLOAD","YUNHAI 2 4","PRC","2018-12-29","JSC","","107.12","50.01","1098","1088","","","0","LARGE","6824","2018","112","D","Y","YUNHAI 2 4","2018-112D","43912"
"2018-112C","43911","PAYLOAD","YUNHAI 2 3","PRC","2018-12-29","JSC","","94.99","50.02","524","512","","","0","LARGE","6824","2018","112","C","Y","YUNHAI 2 3","2018-112C","43911"
"2018-112B","43910","PAYLOAD","YUNHAI 2 2","PRC","2018-12-29","JSC","","95.02","50.02","525","514","","","0","LARGE","6826","2018","112","B","Y","YUNHAI 2 2","2018-112B","43910"
"2018-111B","43877","PAYLOAD","KANOPUS-V 6","CIS","2018-12-27","VOSTO","","94.72","97.47","509","501","","","0","LARGE","6825","2018","111","B","Y","KANOPUS-V 6","2018-111B","43877"
"2018-111A","43876","PAYLOAD","KANOPUS-V 5","CIS","2018-12-27","VOSTO","","94.77","97.47","509","506","","","0","LARGE","6823","2018","111","A","Y","KANOPUS-V 5","2018-111A","43876"
"2018-110B","43875","ROCKET BODY","CZ-3C R/B","PRC","2018-12-24","XSC","","621.25","28.43","35252","227","","","0","LARGE","6823","2018","110","B","Y","CZ-3C R/B","2018-110B","43875"
"2018-109A","43873","PAYLOAD","NAVSTAR 77 (USA 289)","US","2018-12-23","AFETR","","717.94","55.00","20196","20167","","","0","LARGE","6826","2018","109","A","Y","NAVSTAR 77 (USA 289)","2018-109A","43873"
"2018-108B","43872","ROCKET BODY","CZ-11 R/B","PRC","2018-12-21","JSC","","102.79","100.44","1141","640","","","0","LARGE","6826","2018","108","B","Y","CZ-11 R/B","2018-108B","43872"
"1998-067PU","43870","DEBRIS","ISS DEB (SEDA-AP)","ISS","1998-11-20","TTMTR","","92.64","51.64","406","401","","","0","LARGE","6826","1998","67","PU","Y","ISS DEB (SEDA-AP)","1998-067PU","43870"
"2018-107C","43869","DEBRIS","BREEZE-M DEB (TANK)","CIS","2018-12-21","TTMTR","","633.04","48.77","35656","432","","","0","LARGE","6826","2018","107","C","Y","BREEZE-M DEB (TANK)","2018-107C","43869"
"2018-105B","43865","ROCKET BODY","GSLV R/B","IND","2018-12-19","SRI","","683.71","19.45","38519","142","","","0","LARGE","6826","2018","105","B","Y","GSLV R/B","2018-105B","43865"
"2018-104Q","43863","ROCKET BODY","ELECTRON R/B","US","2018-12-16","RLLC","2019-01-30","87.17","84.99","146","122","","","0","LARGE","6824","2018","104","Q","Y","ELECTRON R/B","2018-104Q","43863"
"2018-102C","43833","TBA","OBJECT C","TBD","2018-12-07","JSC","","95.47","97.62","553","530","","","0","LARGE","6817","2018","102","C","Y","OBJECT C","2018-102C","43833"
"2018-102B","43832","TBA","OBJECT B","TBD","2018-12-07","JSC","","95.47","97.62","553","530","","","0","LARGE","6826","2018","102","B","Y","OBJECT B","2018-102B","43832"
"2018-102A","43831","TBA","OBJECT A","TBD","2018-12-07","JSC","","95.50","97.62","554","532","","","0","LARGE","6817","2018","102","A","Y","OBJECT A","2018-102A","43831"
"2018-101B","43828","DEBRIS","DRAGON CRS-16 DEB","US","2018-12-05","AFETR","2018-12-11","87.96","51.59","184","163","","","0","LARGE","6773","2018","101","B","Y","DRAGON CRS-16 DEB","2018-101B","43828"
"2018-101A","43827","PAYLOAD","DRAGON CRS-16","US","2018-12-05","AFETR","2019-01-14","92.56","51.64","405","395","","","0","LARGE","6805","2018","101","A","Y","DRAGON CRS-16","2018-101A","43827"
"2018-100D","43826","DEBRIS","ARIANE 5 DEB (SYLDA)","FR","2018-12-04","FRGUI","","629.64","3.42","35677","235","","","0","LARGE","6826","2018","100","D","Y","ARIANE 5 DEB (SYLDA)","2018-100D","43826"
"2018-100C","43825","ROCKET BODY","ARIANE 5 R/B","FR","2018-12-04","FRGUI","","625.92","3.46","35482","239","","","0","LARGE","6825","2018","100","C","Y","ARIANE 5 R/B","2018-100C","43825"
"2018-100B","43824","PAYLOAD","GSAT 11","IND","2018-12-04","FRGUI","","1436.09","0.12","35803","35770","","","0","LARGE","6823","2018","100","B","Y","GSAT 11","2018-100B","43824"
"2018-100A","43823","PAYLOAD","GEO-KOMPSAT-2A","SKOR","2018-12-04","FRGUI","","1430.50","0.06","35746","35607","","1","0","LARGE","6825","2018","100","A","Y","GEO-KOMPSAT-2A","2018-100A","43823"
"2018-099BB","43807","PAYLOAD","EUCROPIS","GER","2018-12-03","AFWTR","","96.30","97.76","591","572","","","0","LARGE","6824","2018","99","BB","Y","EUCROPIS","2018-099BB","43807"
"2018-099AU","43800","PAYLOAD","ICEYE-X2","FIN","2018-12-03","AFWTR","","96.32","97.76","593","572","","","0","LARGE","6824","2018","99","AU","Y","ICEYE-X2","2018-099AU","43800"
"2018-099AK","43791","PAYLOAD","CAPELLA-1","US","2018-12-03","AFWTR","","96.29","97.76","589","572","","","0","LARGE","6825","2018","99","AK","Y","CAPELLA-1","2018-099AK","43791"
"2018-099F","43763","TBA","OBJECT F","TBD","2018-12-03","AFWTR","","96.29","97.76","591","570","","","0","LARGE","6824","2018","99","F","Y","OBJECT F","2018-099F","43763"
"2018-099C","43760","PAYLOAD","ELYUSIUM/LOWER FREE FLYE","US","2018-12-03","AFWTR","","96.32","97.76","593","572","","","0","LARGE","6823","2018","99","C","Y","ELYUSIUM/LOWER FREE FLYE","2018-099C","43760"
"2018-098B","43757","ROCKET BODY","SL-4 R/B","CIS","2018-12-03","TTMTR","2018-12-08","87.31","51.62","145","137","","","0","LARGE","6769","2018","98","B","Y","SL-4 R/B","2018-098B","43757"
"2018-097D","43754","ROCKET BODY","BREEZE-KM R/B","CIS","2018-11-30","PKMTR","","112.49","82.51","1513","1169","","","0","LARGE","6824","2018","97","D","Y","BREEZE-KM R/B","2018-097D","43754"
"2018-097C","43753","PAYLOAD","COSMOS 2532","CIS","2018-11-30","PKMTR","","115.86","82.52","1509","1480","","","0","LARGE","6824","2018","97","C","Y","COSMOS 2532","2018-097C","43753"
"2018-097B","43752","PAYLOAD","COSMOS 2531","CIS","2018-11-30","PKMTR","","115.86","82.52","1508","1481","","","0","LARGE","6824","2018","97","B","Y","COSMOS 2531","2018-097B","43752"
"2018-097A","43751","PAYLOAD","COSMOS 2530","CIS","2018-11-30","PKMTR","","115.86","82.51","1510","1479","","","0","LARGE","6824","2018","97","A","Y","COSMOS 2530","2018-097A","43751"
"2018-096W","43739","ROCKET BODY","PSLV R/B","IND","2018-11-29","SRI","","93.62","97.42","488","415","","","0","LARGE","6825","2018","96","W","Y","PSLV R/B","2018-096W","43739"
"2018-096A","43719","PAYLOAD","HYSIS","IND","2018-11-29","SRI","","97.48","97.97","649","627","","","0","LARGE","6817","2018","96","A","Y","HYSIS","2018-096A","43719"
"2018-095A","43717","PAYLOAD","MOHAMMED VI-B","MA","2018-11-21","FRGUI","","97.49","97.95","639","638","","","0","LARGE","6824","2018","95","A","Y","MOHAMMED VI-B","2018-095A","43717"
"2018-094B","43711","TBA","OBJECT B","PRC","2018-11-19","JSC","","94.55","97.41","506","488","","","0","LARGE","6826","2018","94","B","Y","OBJECT B","2018-094B","43711"
"2018-093D","43709","ROCKET BODY","CZ-3B R/B","PRC","2018-11-18","XSC","","326.14","54.95","18454","180","","","0","LARGE","6826","2018","93","D","Y","CZ-3B R/B","2018-093D","43709"
"2018-093C","43708","ROCKET BODY","YZ-1 R/B","PRC","2018-11-18","XSC","","811.97","55.05","22778","22127","","","0","LARGE","6817","2018","93","C","Y","YZ-1 R/B","2018-093C","43708"
"2018-093A","43706","PAYLOAD","BEIDOU 3M17","PRC","2018-11-18","XSC","","773.23","54.94","21552","21504","","","0","LARGE","6823","2018","93","A","Y","BEIDOU 3M17","2018-093A","43706"
"2018-092B","43705","ROCKET BODY","ANTARES R/B","US","2018-11-17","WLPIS","2018-11-28","87.52","51.59","158","145","","","0","LARGE","6762","2018","92","B","Y","ANTARES R/B","2018-092B","43705"
"2018-092A","43704","PAYLOAD","CYGNUS NG-10","US","2018-11-17","WLPIS","","92.71","51.64","411","404","","","0","LARGE","6810","2018","92","A","Y","CYGNUS NG-10","2018-092A","43704"
"2018-091B","43703","ROCKET BODY","SL-4 R/B","CIS","2018-11-16","TTMTR","2018-11-19","87.54","51.64","159","147","","","0","LARGE","6758","2018","91","B","Y","SL-4 R/B","2018-091B","43703"
"2018-091A","43702","PAYLOAD","PROGRESS MS-10","CIS","2018-11-16","TTMTR","","92.71","51.64","411","404","","","0","LARGE","6810","2018","91","A","Y","PROGRESS MS-10","2018-091A","43702"
"2018-090B","43701","ROCKET BODY","FALCON 9 R/B","US","2018-11-15","AFETR","","658.05","24.86","37217","149","","","0","LARGE","6826","2018","90","B","Y","FALCON 9 R/B","2018-090B","43701"
"2018-089B","43699","ROCKET BODY","GSLV R/B","IND","2018-11-14","SRI","","618.04","21.50","35151","162","","","0","LARGE","6825","2018","89","B","Y","GSLV R/B","2018-089B","43699"
"2018-088B","43691","ROCKET BODY","ELECTRON R/B","US","2018-11-11","RLLC","2018-12-29","87.60","84.99","167","144","","","0","LARGE","6810","2018","88","B","Y","ELECTRON R/B","2018-088B","43691"
"2018-087A","43689","PAYLOAD","METOP-C","EUME","2018-11-07","FRGUI","","101.30","98.72","822","819","","","0","LARGE","6825","2018","87","A","Y","METOP-C","2018-087A","43689"
"2018-086B","43688","ROCKET BODY","FREGAT R/B","CIS","2018-11-03","PKMTR","","683.60","64.77","19504","19151","","1","0","LARGE","6816","2018","86","B","Y","FREGAT R/B","2018-086B","43688"
"2018-086A","43687","PAYLOAD","COSMOS 2529 (GLONASS)","CIS","2018-11-03","PKMTR","","675.73","64.77","19155","19105","","","0","LARGE","6821","2018","86","A","Y","COSMOS 2529 (GLONASS)","2018-086A","43687"
"2018-085B","43684","ROCKET BODY","CZ-3B R/B","PRC","2018-11-01","XSC","","531.85","28.23","30614","119","","1","0","LARGE","6823","2018","85","B","Y","CZ-3B R/B","2018-085B","43684"
"2018-085A","43683","PAYLOAD","BEIDOU 3G1","PRC","2018-11-01","XSC","","1436.07","2.88","35792","35781","","","0","LARGE","6826","2018","85","A","Y","BEIDOU 3G1","2018-085A","43683"
"2018-084L","43682","ROCKET BODY","H-2A R/B","JPN","2018-10-29","TNSTA","","95.84","98.86","600","519","","","0","LARGE","6824","2018","84","L","Y","H-2A R/B","2018-084L","43682"
"2018-084F","43676","PAYLOAD","KHALIFASAT","UAE","2018-10-29","TNSTA","","96.73","97.83","613","591","","","0","LARGE","6820","2018","84","F","Y","KHALIFASAT","2018-084F","43676"
"2018-084E","43675","DEBRIS","H-2A DEB","JPN","2018-10-29","TNSTA","","96.76","97.85","615","591","","","0","LARGE","6826","2018","84","E","Y","H-2A DEB","2018-084E","43675"
"2018-084D","43674","DEBRIS","H-2A DEB","JPN","2018-10-29","TNSTA","","96.78","97.86","615","595","","","0","LARGE","6824","2018","84","D","Y","H-2A DEB","2018-084D","43674"
"2018-084C","43673","DEBRIS","H-2A DEB","JPN","2018-10-29","TNSTA","","96.80","97.85","616","595","","","0","LARGE","6824","2018","84","C","Y","H-2A DEB","2018-084C","43673"
"2018-084B","43672","PAYLOAD","GOSAT 2","JPN","2018-10-29","TNSTA","","97.02","97.83","617","615","","","0","LARGE","6824","2018","84","B","Y","GOSAT 2","2018-084B","43672"
"2018-083F","43667","ROCKET BODY","CZ-2C R/B","PRC","2018-10-29","JSC","","87.94","97.59","188","158","","","0","LARGE","6826","2018","83","F","Y","CZ-2C R/B","2018-083F","43667"
"2018-083A","43662","PAYLOAD","CFOSAT","PRC","2018-10-29","JSC","","94.97","97.52","518","516","","","0","LARGE","6824","2018","83","A","Y","CFOSAT","2018-083A","43662"
"2018-082B","43658","ROCKET BODY","SL-4 R/B","CIS","2018-10-25","PKMTR","","95.28","67.13","832","232","","","0","LARGE","6826","2018","82","B","Y","SL-4 R/B","2018-082B","43658"
"2018-082A","43657","PAYLOAD","COSMOS 2528","CIS","2018-10-25","PKMTR","","103.10","67.15","910","901","","","0","LARGE","6782","2018","82","A","Y","COSMOS 2528","2018-082A","43657"
"2018-081B","43656","ROCKET BODY","CZ-4B R/B","PRC","2018-10-24","TSC","","100.67","99.45","941","640","","","0","LARGE","6810","2018","81","B","Y","CZ-4B R/B","2018-081B","43656"
"2018-081A","43655","PAYLOAD","HAIYANG 2B","PRC","2018-10-24","TSC","","104.40","99.35","967","965","","","0","LARGE","6825","2018","81","A","Y","HAIYANG 2B","2018-081A","43655"
"2018-079B","43652","ROCKET BODY","ATLAS 5 CENTAUR R/B","US","2018-10-17","AFETR","","784.96","12.17","35097","8522","","","0","LARGE","6824","2018","79","B","Y","ATLAS 5 CENTAUR R/B","2018-079B","43652"
"2018-079A","43651","PAYLOAD","AEHF 4 (USA 288)","US","2018-10-17","AFETR","","1387.90","5.22","36495","33181","","","0","LARGE","6824","2018","79","A","Y","AEHF 4 (USA 288)","2018-079A","43651"
"2018-078C","43649","ROCKET BODY","CZ-3B R/B","PRC","2018-10-15","XSC","","323.74","55.00","18285","195","","","0","LARGE","6826","2018","78","C","Y","CZ-3B R/B","2018-078C","43649"
"2018-077C","43644","DEBRIS","YZ-1S DEB","PRC","2018-10-09","JSC","","98.65","98.26","699","688","","","0","LARGE","6824","2018","77","C","Y","YZ-1S DEB","2018-077C","43644"
"2018-077B","43643","PAYLOAD","YAOGAN-32 B","PRC","2018-10-09","JSC","","98.68","98.26","696","695","","","0","LARGE","6816","2018","77","B","Y","YAOGAN-32 B","2018-077B","43643"
"2018-077A","43642","PAYLOAD","YAOGAN-32 A","PRC","2018-10-09","JSC","","98.68","98.26","696","695","","","0","LARGE","6824","2018","77","A","Y","YAOGAN-32 A","2018-077A","43642"
"2018-076A","43641","PAYLOAD","SAOCOM 1-A","ARGN","2018-10-08","AFWTR","","97.16","97.89","624","622","","","0","LARGE","6824","2018","76","A","Y","SAOCOM 1-A","2018-076A","43641"
"2018-075B","43637","ROCKET BODY","KZ-1A R/B","PRC","2018-09-29","JSC","","95.16","98.21","788","264","","","0","LARGE","6825","2018","75","B","Y","KZ-1A R/B","2018-075B","43637"
"2018-074D","43635","DEBRIS","ARIANE 5 DEB (SYLDA)","FR","2018-09-25","FRGUI","","629.26","5.97","35622","271","","","0","LARGE","6819","2018","74","D","Y","ARIANE 5 DEB (SYLDA)","2018-074D","43635"
"2018-074C","43634","ROCKET BODY","ARIANE 5 R/B","FR","2018-09-25","FRGUI","","629.90","5.80","35647","279","","","0","LARGE","6825","2018","74","C","Y","ARIANE 5 R/B","2018-074C","43634"
"2018-074A","43632","PAYLOAD","AZERSPACE 2/INTELSAT 38","AZER","2018-09-25","FRGUI","","1438.39","0.02","35871","35792","","","0","LARGE","6826","2018","74","A","Y","AZERSPACE 2/INTELSAT 38","2018-074A","43632"
"2018-073A","43630","PAYLOAD","HTV-7","JPN","2018-09-22","TNSTA","2018-11-10","92.20","51.64","388","377","","","0","LARGE","6775","2018","73","A","Y","HTV-7","2018-073A","43630"
"2018-072D","43625","ROCKET BODY","YZ-1 R/B","PRC","2018-09-19","XSC","","811.44","54.83","22709","22171","","","0","LARGE","6797","2018","72","D","Y","YZ-1 R/B","2018-072D","43625"
"2018-072C","43624","ROCKET BODY","CZ-3B R/B","PRC","2018-09-19","XSC","","322.72","55.06","18195","218","","","0","LARGE","6825","2018","72","C","Y","CZ-3B R/B","2018-072C","43624"
"2018-071C","43620","ROCKET BODY","PSLV R/B","IND","2018-09-16","SRI","","96.59","97.70","618","573","","","0","LARGE","6824","2018","71","C","Y","PSLV R/B","2018-071C","43620"
"2018-071B","43619","PAYLOAD","NOVASAR 1","UK","2018-09-16","SRI","","96.39","97.81","594","578","","","0","LARGE","6825","2018","71","B","Y","NOVASAR 1","2018-071B","43619"
"2018-071A","43618","PAYLOAD","SSTL S1-4","UK","2018-09-16","SRI","","96.33","97.81","593","572","","","0","LARGE","6826","2018","71","A","Y","SSTL S1-4","2018-071A","43618"
"2018-070A","43613","PAYLOAD","ICESAT-2","US","2018-09-15","AFWTR","","94.22","92.00","483","479","","","0","LARGE","6824","2018","70","A","Y","ICESAT-2","2018-070A","43613"
"2018-069B","43612","ROCKET BODY","FALCON 9 R/B","US","2018-09-10","AFETR","","320.11","27.02","18001","245","","","0","LARGE","6826","2018","69","B","Y","FALCON 9 R/B","2018-069B","43612"
"2018-069A","43611","PAYLOAD","TELSTAR 18V","CA","2018-09-10","AFETR","","1436.08","0.02","35799","35773","","","0","LARGE","6826","2018","69","A","Y","TELSTAR 18V","2018-069A","43611"
"2018-068B","43610","ROCKET BODY","CZ-2C R/B","PRC","2008-09-07","TSC","","99.04","98.58","776","649","","","0","LARGE","6826","2018","68","B","Y","CZ-2C R/B","2018-068B","43610"
"2018-068A","43609","PAYLOAD","HAIYANG 1C","PRC","2018-09-07","TSC","","100.41","98.58","787","769","","","0","LARGE","6825","2018","68","A","Y","HAIYANG 1C","2018-068A","43609"
"2018-067C","43604","ROCKET BODY","CZ-3B R/B","PRC","2018-08-24","XSC","","294.48","54.94","16441","127","","","0","LARGE","6826","2018","67","C","Y","CZ-3B R/B","2018-067C","43604"
"2018-067A","43602","PAYLOAD","BEIDOU 3M11","PRC","2018-08-24","XSC","","773.23","54.92","21545","21511","","","0","LARGE","6825","2018","67","A","Y","BEIDOU 3M11","2018-067A","43602"
"2018-066A","43600","PAYLOAD","AEOLUS","ESA","2018-08-22","FRGUI","","90.75","96.72","313","310","","","0","LARGE","6825","2018","66","A","Y","AEOLUS","2018-066A","43600"
"2018-064B","43588","ROCKET BODY","FALCON 9 R/B","US","2018-08-07","AFETR","","299.59","26.95","16775","131","","","0","LARGE","6826","2018","64","B","Y","FALCON 9 R/B","2018-064B","43588"
"2018-064A","43587","PAYLOAD","TELKOM-4","INDO","2018-08-07","AFETR","","1436.11","0.01","35795","35779","","","0","LARGE","6826","2018","64","A","Y","TELKOM-4","2018-064A","43587"
"2018-063B","43586","ROCKET BODY","CZ-4B R/B","PRC","2018-07-31","TSC","2018-11-04","87.04","97.33","136","119","","","0","LARGE","6736","2018","63","B","Y","CZ-4B R/B","2018-063B","43586"
"2018-063A","43585","PAYLOAD","GAOFEN 11","PRC","2018-07-31","TSC","","92.71","97.40","578","237","","","0","LARGE","6826","2018","63","A","Y","GAOFEN 11","2018-063A","43585"
"2018-062C","43583","ROCKET BODY","CZ-3B R/B","PRC","2018-07-29","XSC","","299.38","54.93","16763","130","","","0","LARGE","6826","2018","62","C","Y","CZ-3B R/B","2018-062C","43583"
"2018-062A","43581","PAYLOAD","BEIDOU 3M9","PRC","2018-07-29","XSC","","773.23","54.86","21536","21520","","","0","LARGE","6819","2018","62","A","Y","BEIDOU 3M9","2018-062A","43581"
"2018-061K","43578","PAYLOAD","IRIDIUM 159","US","2018-07-25","AFWTR","","100.40","86.40","779","776","","","0","LARGE","6817","2018","61","K","Y","IRIDIUM 159","2018-061K","43578"
"2018-061J","43577","PAYLOAD","IRIDIUM 164","US","2018-07-25","AFWTR","","100.40","86.40","779","776","","","0","LARGE","6824","2018","61","J","Y","IRIDIUM 164","2018-061J","43577"
"2018-061H","43576","PAYLOAD","IRIDIUM 156","US","2018-07-25","AFWTR","","100.40","86.40","780","776","","","0","LARGE","6810","2018","61","H","Y","IRIDIUM 156","2018-061H","43576"
"2018-061G","43575","PAYLOAD","IRIDIUM 163","US","2018-07-25","AFWTR","","100.40","86.40","780","776","","","0","LARGE","6824","2018","61","G","Y","IRIDIUM 163","2018-061G","43575"
"2018-061F","43574","PAYLOAD","IRIDIUM 154","US","2018-07-25","AFWTR","","100.40","86.40","779","776","","","0","LARGE","6824","2018","61","F","Y","IRIDIUM 154","2018-061F","43574"
"2018-061E","43573","PAYLOAD","IRIDIUM 155","US","2018-07-25","AFWTR","","100.40","86.40","780","776","","","0","LARGE","6819","2018","61","E","Y","IRIDIUM 155","2018-061E","43573"
"2018-061D","43572","PAYLOAD","IRIDIUM 165","US","2018-07-25","AFWTR","","100.40","86.40","779","776","","","0","LARGE","6824","2018","61","D","Y","IRIDIUM 165","2018-061D","43572"
"2018-061C","43571","PAYLOAD","IRIDIUM 158","US","2018-07-25","AFWTR","","100.40","86.40","779","776","","","0","LARGE","6810","2018","61","C","Y","IRIDIUM 158","2018-061C","43571"
"2018-061B","43570","PAYLOAD","IRIDIUM 166","US","2018-07-25","AFWTR","","100.40","86.40","779","776","","","0","LARGE","6824","2018","61","B","Y","IRIDIUM 166","2018-061B","43570"
"2018-061A","43569","PAYLOAD","IRIDIUM 160","US","2018-07-25","AFWTR","","100.40","86.40","779","776","","","0","LARGE","6796","2018","61","A","Y","IRIDIUM 160","2018-061A","43569"
"2018-060D","43567","PAYLOAD","GALILEO 24 (2C0)","ESA","2018-07-25","FRGUI","","844.69","56.47","23239","23204","","","0","LARGE","6824","2018","60","D","Y","GALILEO 24 (2C0)","2018-060D","43567"
"2018-060B","43565","PAYLOAD","GALILEO 26 (2C2)","ESA","2018-07-25","FRGUI","","844.69","56.47","23240","23204","","","0","LARGE","6823","2018","60","B","Y","GALILEO 26 (2C2)","2018-060B","43565"
"2018-060A","43564","PAYLOAD","GALILEO 25 (2C1)","ESA","2018-07-25","FRGUI","","844.69","56.46","23241","23203","","","0","LARGE","6817","2018","60","A","Y","GALILEO 25 (2C1)","2018-060A","43564"
"2018-059B","43563","ROCKET BODY","FALCON 9 R/B","US","2018-07-22","AFETR","","315.91","27.07","17750","224","","","0","LARGE","6826","2018","59","B","Y","FALCON 9 R/B","2018-059B","43563"
"2018-059A","43562","PAYLOAD","TELSTAR 19V","CA","2018-07-22","AFETR","","1436.08","0.01","35791","35781","","","0","LARGE","6826","2018","59","A","Y","TELSTAR 19V","2018-059A","43562"
"2018-057B","43540","ROCKET BODY","CZ-3A R/B","PRC","2018-07-09","XSC","","622.02","55.05","35301","219","","","0","LARGE","6826","2018","57","B","Y","CZ-3A R/B","2018-057B","43540"
"2018-058B","43538","ROCKET BODY","SL-4 R/B","CIS","2018-07-09","TTMTR","2018-07-12","87.67","51.66","164","155","","","0","LARGE","6619","2018","58","B","Y","SL-4 R/B","2018-058B","43538"
"2018-056F","43534","DEBRIS","CZ-2C DEB","PRC","2018-07-09","JSC","","96.79","98.03","622","587","","","0","LARGE","6824","2018","56","F","Y","CZ-2C DEB","2018-056F","43534"
"2018-056D","43532","ROCKET BODY","CZ-2C R/B","PRC","2018-07-09","JSC","","91.07","98.03","433","222","","","0","LARGE","6826","2018","56","D","Y","CZ-2C R/B","2018-056D","43532"
"2018-056C","43531","DEBRIS","CZ-2C DEB","PRC","2018-07-09","JSC","","90.09","97.80","318","240","","","0","LARGE","6826","2018","56","C","Y","CZ-2C DEB","2018-056C","43531"
"2018-056B","43530","PAYLOAD","PRSS 1","PAKI","2018-07-09","JSC","","97.51","98.05","640","638","","","0","LARGE","6824","2018","56","B","Y","PRSS 1","2018-056B","43530"
"2018-056A","43529","PAYLOAD","PAKTES 1A","PAKI","2018-07-09","JSC","","96.82","98.03","625","588","","","0","LARGE","6824","2018","56","A","Y","PAKTES 1A","2018-056A","43529"
"2018-055A","43522","PAYLOAD","DRAGON CRS-15","US","2018-06-29","AFETR","2018-08-03","92.68","51.64","409","402","","","0","LARGE","6640","2018","55","A","Y","DRAGON CRS-15","2018-055A","43522"
"2018-054D","43521","ROCKET BODY","CZ-2C R/B","PRC","2018-06-27","XSC","","95.33","35.15","592","477","","","0","LARGE","6820","2018","54","D","Y","CZ-2C R/B","2018-054D","43521"
"2018-054C","43520","DEBRIS","CZ-2C DEB","PRC","2018-06-27","XSC","","94.08","35.00","480","468","","","0","LARGE","6824","2018","54","C","Y","CZ-2C DEB","2018-054C","43520"
